trial_index,adapt_filename,test_filename,rating,rt_seconds
0,adapt_high.png,test_2.png,2,1.9891085000126623
1,adapt_high.png,test_1.png,2,1.9249171999981627
2,adapt_high.png,test_2.png,2,1.49860130000161
3,adapt_high.png,test_3.png,2,1.958325000014156
4,adapt_high.png,test_3.png,3,0.6830435000010766
5,adapt_high.png,test_1.png,2,0.9682947999972384
6,adapt_high.png,test_2.png,2,2.056386999989627
7,adapt_high.png,test_3.png,3,0.5092854999820702
8,adapt_high.png,test_3.png,2,1.7259995999920648
9,adapt_high.png,test_3.png,3,0.49192020000191405
10,adapt_high.png,test_1.png,2,0.8763693000073545
11,adapt_high.png,test_2.png,2,0.5246914000017568
12,adapt_high.png,test_2.png,3,0.5375602999993134
13,adapt_high.png,test_1.png,2,0.9755686999997124
14,adapt_high.png,test_1.png,3,0.41047030000481755
15,adapt_low.png,test_1.png,3,1.3163788999954704
16,adapt_low.png,test_3.png,4,1.0510000999784097
17,adapt_low.png,test_1.png,3,1.0539853000082076
18,adapt_low.png,test_3.png,4,1.1956606000021566
19,adapt_low.png,test_3.png,4,1.3175216999952681
20,adapt_low.png,test_2.png,3,5.020315300003858
21,adapt_low.png,test_2.png,4,1.0217547999927774
22,adapt_low.png,test_2.png,4,1.8211966000089888
23,adapt_low.png,test_2.png,4,3.0636715999862645
24,adapt_low.png,test_2.png,4,2.892326500004856
25,adapt_low.png,test_1.png,3,1.0313064999936614
26,adapt_low.png,test_1.png,3,0.6174110999854747
27,adapt_low.png,test_1.png,3,3.843301999993855
28,adapt_low.png,test_3.png,4,1.04897340000025
29,adapt_low.png,test_3.png,4,0.705296800006181
